Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Brasileia;AC;FERNANDA HASSEM;MANOEL PRETE;LEILA GALVÃO;27.123;10;4 - 20001 até 50000;1 - Norte;FEMININO;1;PT;2,069842897;1,992140384;0,077702513;13758;3855;17613;6819;6013;39;34;5;13.522;3322;16844;7651;4590;45;27;18;14;Administração, defesa, educação e saúde públicas e seguridade social;17.981,49;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;22/05/2020;177;0,634285714;DECRETO N° 24 DE 22 DE MAIO DE 2020;22/05/2020;177;0,238636364; DECRETO N° 24 DE 22 DE MAIO DE 2020;0,4013;0,3308;0,4749;0,4832;0,3942;0,4891;0,0819;0;0,0634;0;0,0142;0
Epitaciolandia;AC;TIÃO FLORES;MARCOS FERNANDO;DELEGADO SERGIO LOPES ;18.979;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PP;2,868590577;2,657969889;0,210620688;9276;2283;11559;4068;3026;35;26;9;9.447;2285;11732;741;3984;6;34;-28;-37;Administração, defesa, educação e saúde públicas e seguridade social;23.156,18;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/05/2020;179;0,645714286;DECRETO Nº 51 DE 20 DE MAIO DE 2020;20/05/2020;179;0,261363636;DECRETO Nº 51 DE 20 DE MAIO DE 2020;0,3589;0,2553;0,4418;0,3918;0,2884;0,4493;0,0329;0;0,0331;0;0,0075;0
Mancio lima;AC;ISAAC LIMA;SILENE SIQUEIRA;CHICÃO;19.643;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PT;1,985157322;2,02148981;-0,036332488;9890;2090;11980;5390;4024;45;34;11;10.964;2177;13141;4115;3460;31;26;5;-6;Administração, defesa, educação e saúde públicas e seguridade social;11.955,02;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;05/05/2020;194;0,731428571;DECRETO Nº, 074/2020, DE 05 DE MAIO DE 2020;20/03/2020;240;0,954545455;DECRETO Nº, 046/2020, DE 20 DE MARÇO DE 2020,;0,3001;0,2883;0,2509;0,3517;0,3806;0,2516;0,0516;0;0,0923;0;0,0007;0
Porto acre;AC;BENÉ DAMASCENO;DANIEL NOGUEIRA;ZÉ MARIA;19.141;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PP;2,383062228;2,958365771;-0,575303542;10381;950;11331;4442;3227;39;28;11;10.026;2613;12639;5415;2761;43;22;21;10;Administração, defesa, educação e saúde públicas e seguridade social;12.948,19;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;10/09/2020;66;0;LEI Nº 3,647, DE 10 DE SETEMBRO DE 2020;20/03/2020;240;0,954545455;https://g1,globo,com/ac/acre/noticia/2020/03/20/prevencao-a-covid-19-governo-do-ac-determina-fechamento-de-shopping-bares-restaurantes-e-lanchonetes,ghtml;0,3439;0,401;0,404;0,2917;0,3302;0,3133;-0,0522;1;-0,0708;1;-0,0907;1
Sena madureira;AC;MAZINHO SERAFIM;TOINHA VIEIRA;GERLEN DINIZ;47.168;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1,965406168;3,12608268;-1,160676513;21448;6108;27556;7889;6986;29;25;3;22.382;6603;28985;12183;9329;42;32;10;7;Administração, defesa, educação e saúde públicas e seguridade social;12.490,26;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;DECRETO Nº 041/2020, DE 22 DE ABRIL DE 2020;22/04/2020;207;0,579545455;DECRETO Nº 041/2020, DE 22 DE ABRIL DE 2020;0,2451;0,1584;0,3592;0,3093;0,2509;0,3632;0,0642;0;0,0925;0;0,004;0
Delmiro gouveia;AL;PADRE ERALDO;GIVALDO CARIMBÃO;ZIANE COSTA;52.501;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSD;3,215702044;2,369884547;0,845817497;30197;5940;36137;14722;10107;41;28;13;28.673;8804;37477;8989;10948;24;29;-5;-18;Administração, defesa, educação e saúde públicas e seguridade social;11.926,88;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;DECRETO Nº06/2020, DE 06 DE MAIO DE 2020;20/03/2020;240;0,954545455;DECRETO Nº 005/2020, DE 20 DE MARÇO DE 2020,;0,3021;0,3314;0,4121;0,447;0,5029;0,4044;0,1449;0;0,1715;0;-0,0077;1
Marechal deodoro;AL;CACAU;JUNIOR DAMASO;JUNIOR DAMASO;52.848;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;1,999998978;1,999999825;-8,46835E-07;29765;5051;34816;13536;13528;39;39;0;31.667;6676;38343;14702;14681;38;38;0;0;Indústrias de transformação;54.137,07;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;DECRETO Nº 025/2020, DE 21 DE ABRIL DE 2020;20/03/2020;240;0,954545455;https://g1,globo,com/al/alagoas/noticia/2020/03/20/alagoas-fecha-igrejas-shoppings-bares-e-outros-estabelecimentos-isolamento-total-diz-governador,ghtml;0,4055;0,387;0,5945;0,5433;0,572;0,6216;0,1378;0;0,185;0;0,0271;0
Palmeira dos indios;AL;JULIO CEZAR;DOUTORA VERÔNICA MEDEIROS;MOSABELLE RIBEIRO;73.452;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PSB;2,019969293;2,010159169;0,009810124;40715;8605;49320;23786;9936;48;20;28;38.811;11994;50805;21469;13010;42;26;17;-11;Administração, defesa, educação e saúde públicas e seguridade social;13.595,71;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;24/04/2020;205;0,794285714;DECRETO Nº 2,063, DE 24 DE ABRIL DE 2020, ;20/03/2020;240;0,954545455;DECRETO N,º 2,057 DE 20 DE MARÇO DE 2020 ;0,4089;0,3976;0,3913;0,5075;0,4596;0,4316;0,0986;0;0,062;0;0,0403;0
Rio largo;AL;GILBERTO GONÇALVES;PEDRO VICTOR;PEDRO VICTOR;75.662;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,177340213;4,196991078;-2,019650865;44993;7335;52328;12633;10754;24;21;4;46.916;10716;57632;25355;13945;44;24;20;16;Demais serviços;17.389,26;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;30/04/2020;199;0,76;DECRETO N, 027/2020 DE 30 DE ABRIL DE 2020,;20/03/2020;240;0,954545455;DECRETO N,º 2,057 DE 20 DE MARÇO DE 2020 ;0,3894;0,3324;0,601;0,4964;0,392;0,6256;0,107;0;0,0596;0;0,0246;0
Uniao dos palmares;AL;KIL;EDUARDO PEDROZA;SEBASTIÃO DE JESUS;65.963;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;3,455846551;2,159772284;1,296074266;35547;7484;43031;17817;12734;41;30;12;34.512;10441;44953;13008;9800;29;22;7;-5;Agricultura, inclusive apoio à agricultura e a pós colheita;19.509,04;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;30/04/2020;199;0,76;https://g1,globo,com/al/alagoas/noticia/2020/05/01/prefeitura-de-uniao-dos-palmares-endurece-restricoes-de-prevencao-ao-novo-coronavirus,ghtml?utm_source=chatgpt,com;20/03/2020;240;0,954545455;https://g1,globo,com/al/alagoas/noticia/2020/03/20/alagoas-fecha-igrejas-shoppings-bares-e-outros-estabelecimentos-isolamento-total-diz-governador,ghtml;0,332;0,3333;0,3711;0,4745;0,5002;0,3815;0,1425;0;0,1669;0;0,0104;0
