Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;delta_competicao;delta_abstencao_pp_c;delta_abstencao_pp_z;delta_competicao_c;delta_competicao_z;vantagem2016_c;vantagem2016_z;id_municipio;mask_27A
Brasileia;AC;FERNANDA HASSEM;MANOEL PRETE;LEILA GALVÃO;27.123;10;4 - 20001 até 50000;1 - Norte;FEMININO;1;PT;2.069842897;1.992140384;0.077702513;13758;3855;17613;6819;6013;39;34;5;13.522;3322;16844;7651;4590;45;27;18;14;Administração, defesa, educação e saúde públicas e seguridade social;17.981,49;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;22/05/2020;177;0,634285714;22/05/2020;177;0,238636364;0,4013;0,3308;0,4749;0,4832;0,3942;0,4891;0,0819;0;0,0634;0;0,0142;0;0.21887242377789132;0.1972215625742104;-2.165086120368093;0.077702513;-7.60028189838129;-1.5886820034676916;0.18324614502039568;0.16903603198537842;-6.151079136690647;-0.5745835395425786;Brasileia - AC;True
Epitaciolandia;AC;TIÃO FLORES;MARCOS FERNANDO;DELEGADO SERGIO LOPES ;18.979;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PP;2.868590577;2.657969889;0.210620688;9276;2283;11559;4068;3026;35;26;9;9.447;2285;11732;741;3984;6;34;-28;-37;Administração, defesa, educação e saúde públicas e seguridade social;23.156,18;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;20/05/2020;179;0,645714286;20/05/2020;179;0,261363636;0,3589;0,2553;0,4418;0,3918;0,2884;0,4493;0,0329;0;0,0331;0;0,0075;0;0.1975084349857254;0.19476645073303783;-0.2741984252687568;0.210620688;-5.7093942032819545;-1.1934309730522785;0.3161643200203957;0.29164685623075287;-2.1510791366906474;-0.2009362319569953;Epitaciolandia - AC;True
Mancio lima;AC;ISAAC LIMA;SILENE SIQUEIRA;CHICÃO;19.643;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PT;1.985157322;2.02148981;-0.036332488;9890;2090;11980;5390;4024;45;34;11;10.964;2177;13141;4115;3460;31;26;5;-6;Administração, defesa, educação e saúde públicas e seguridade social;11.955,02;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;05/05/2020;194;0,731428571;20/03/2020;240;0,954545455;0,3001;0,2883;0,2509;0,3517;0,3806;0,2516;0,0516;0;0,0923;0;0,0007;0;0.17445742904841402;0.1656647134921239;-0.8792715556290132;-0.036332488;-6.31446733364221;-1.3199090176613777;0.06921114402039569;0.06384405605408013;-0.15107913669064743;-0.014112578164203679;Mancio lima - AC;True
Porto acre;AC;BENÉ DAMASCENO;DANIEL NOGUEIRA;ZÉ MARIA;19.141;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PP;2.383062228;2.958365771;-0.575303542;10381;950;11331;4442;3227;39;28;11;10.026;2613;12639;5415;2761;43;22;21;10;Administração, defesa, educação e saúde públicas e seguridade social;12.948,19;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;10/09/2020;66;0;20/03/2020;240;0,954545455;0,3439;0,401;0,404;0,2917;0,3302;0,3133;-0,0522;1;-0,0708;1;-0,0907;1;0.08384079075103698;0.20674103963921198;12.2900248888175;-0.575303542;6.854829110804303;1.432860490016906;-0.4697599099796043;-0.43333163248767276;-0.15107913669064743;-0.014112578164203679;Porto acre - AC;True
Sena madureira;AC;MAZINHO SERAFIM;TOINHA VIEIRA;GERLEN DINIZ;47.168;11;4 - 20001 até 50000;1 - Norte;MASCULINO;1;MDB;1.965406168;3.12608268;-1.160676513;21448;6108;27556;7889;6986;29;25;3;22.382;6603;28985;12183;9329;42;32;10;7;Administração, defesa, educação e saúde públicas e seguridade social;12.490,26;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;22/04/2020;207;0,579545455;0,2451;0,1584;0,3592;0,3093;0,2509;0,3632;0,0642;0;0,0925;0;0,004;0;0.22165771519814195;0.22780748663101605;0.6149771432874096;-1.160676513;-4.820218634725787;-1.0075671797646644;-1.0551328809796043;-0.9733109277591708;-8.151079136690647;-0.7614071933353702;Sena madureira - AC;True
Delmiro gouveia;AL;PADRE ERALDO;GIVALDO CARIMBÃO;ZIANE COSTA;52.501;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSD;3.215702044;2.369884547;0.845817497;30197;5940;36137;14722;10107;41;28;13;28.673;8804;37477;8989;10948;24;29;-5;-18;Administração, defesa, educação e saúde públicas e seguridade social;11.926,88;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;20/03/2020;240;0,954545455;0,3021;0,3314;0,4121;0,447;0,5029;0,4044;0,1449;0;0,1715;0;-0,0077;1;0.1643744638459197;0.23491741601515595;7.0542952169236255;0.845817497;1.6190994389104283;0.33843930722746873;0.9513611290203956;0.8775863209391845;1.8489208633093526;0.17271107562858795;Delmiro gouveia - AL;True
Marechal deodoro;AL;CACAU;JUNIOR DAMASO;JUNIOR DAMASO;52.848;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;1.999998978;1.999999825;-8.46835e-07;29765;5051;34816;13536;13528;39;39;0;31.667;6676;38343;14702;14681;38;38;0;0;Indústrias de transformação;54.137,07;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;20/03/2020;240;0,954545455;0,4055;0,387;0,5945;0,5433;0,572;0,6216;0,1378;0;0,185;0;0,0271;0;0.14507697610294118;0.17411261507967557;2.903563897673439;-8.46835e-07;-2.5316318803397584;-0.529185372526438;0.10554278518539568;0.09735830246491013;-11.151079136690647;-1.0416426740245577;Marechal deodoro - AL;True
Palmeira dos indios;AL;JULIO CEZAR;DOUTORA VERÔNICA MEDEIROS;MOSABELLE RIBEIRO;73.452;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PSB;2.019969293;2.010159169;0.009810124;40715;8605;49320;23786;9936;48;20;28;38.811;11994;50805;21469;13010;42;26;17;-11;Administração, defesa, educação e saúde públicas e seguridade social;13.595,71;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;24/04/2020;205;0,794285714;20/03/2020;240;0,954545455;0,4089;0,3976;0,3913;0,5075;0,4596;0,4316;0,0986;0;0,062;0;0,0403;0;0.1744728304947283;0.23607912607026868;6.160629557554037;0.009810124;0.7254337795408397;0.15163695316479472;0.11535375602039569;0.10640846600143687;16.848920863309353;1.5738884790745251;Palmeira dos indios - AL;True
Rio largo;AL;GILBERTO GONÇALVES;PEDRO VICTOR;PEDRO VICTOR;75.662;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2.177340213;4.196991078;-2.019650865;44993;7335;52328;12633;10754;24;21;4;46.916;10716;57632;25355;13945;44;24;20;16;Demais serviços;17.389,26;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;30/04/2020;199;0,76;20/03/2020;240;0,954545455;0,3894;0,3324;0,601;0,4964;0,392;0,6256;0,107;0;0,0596;0;0,0246;0;0.14017352086836876;0.18593836757357024;4.576484670520148;-2.019650865;-0.8587111074930496;-0.1794958267196076;-1.9141072329796043;-1.7656747508733264;-7.151079136690647;-0.6679953664389744;Rio largo - AL;True
Uniao dos palmares;AL;KIL;EDUARDO PEDROZA;SEBASTIÃO DE JESUS;65.963;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;3.455846551;2.159772284;1.296074266;35547;7484;43031;17817;12734;41;30;12;34.512;10441;44953;13008;9800;29;22;7;-5;Agricultura, inclusive apoio à agricultura e a pós colheita;19.509,04;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;30/04/2020;199;0,76;20/03/2020;240;0,954545455;0,332;0,3333;0,3711;0,4745;0,5002;0,3815;0,1425;0;0,1669;0;0,0104;0;0.1739211266296391;0.23226480991257537;5.8343683282936265;1.296074266;0.3991725502804293;0.08343877969103797;1.4016178980203957;1.292927214456186;0.8489208633093526;0.07929924873219214;Uniao dos palmares - AL;True
